year,month,day,luna
2020,4,30,10
2020,5,7,20
2020,5,14,30
2020,5,22,0
2020,5,29,10
2020,6,5,20
2020,6,12,30
2020,6,20,0
2020,6,28,10
2020,7,4,20
2020,7,12,30
2020,7,20,0
2020,7,27,10
2020,8,3,20
2020,8,11,30
2020,8,18,0
2020,8,25,10
2020,9,1,20
2020,9,10,30
2020,9,17,0
2020,9,23,10
2020,10,1,20
2020,10,9,30
2020,10,16,0
2020,10,23,10
2020,10,31,20
2020,11,8,30
2020,11,14,0
2020,11,21,10
2020,11,30,20
2020,12,7,30
2020,12,14,0
2020,12,21,10
2020,12,29,20
2021,1,6,30
2021,1,12,0
2021,1,20,10
2021,1,28,20
2021,2,4,30
2021,2,11,0
2021,2,19,10
2021,2,27,20
2021,3,5,30
2021,3,13,0
2021,3,21,10
2021,3,28,20
2021,4,4,30
2021,4,11,0
2021,4,19,10
2021,4,26,20
2021,5,3,30
2021,5,11,0
2021,5,19,10
2021,5,26,20
2021,6,2,30
2021,6,10,0
2021,6,17,10
2021,6,24,20
2021,7,1,30
2021,7,9,0
2021,7,17,10
2021,7,23,20
2021,7,31,30
2021,8,8,0
2021,8,15,10
2021,8,22,20
2021,8,30,30
2021,9,6,0
2021,9,13,10
2021,9,20,20
2021,9,28,30
2021,10,6,0
2021,10,12,10
2021,10,20,20
2021,10,28,30
2021,11,4,0
2021,11,11,10
2021,11,19,20
2021,11,27,30
2021,12,3,0
2021,12,10,10
2021,12,18,20
2021,12,26,30
2022,1,2,0
2022,1,9,10
2022,1,17,20
2022,1,25,30
2022,1,31,0
2022,2,8,10
2022,2,16,20
2022,2,23,30
2022,3,2,0
2022,3,10,10
2022,3,18,20
2022,3,24,30
2022,3,31,0
2022,4,8,10
2022,4,16,20
2022,4,23,30
2022,4,30,0
2022,5,8,10
2022,5,15,20
2022,5,22,30
2022,5,30,0
2022,6,7,10
2022,6,14,20
2022,6,20,30
2022,6,28,0
2022,7,6,10
2022,7,13,20
2022,7,20,30
2022,7,28,0
2022,8,5,10
2022,8,11,20
2022,8,18,30
2022,8,27,0
2022,9,3,10
2022,9,10,20
2022,9,17,30
2022,9,25,0
2022,10,2,10
2022,10,9,20
2022,10,17,30
2022,10,25,0
2022,10,31,10
2022,11,8,20
2022,11,16,30
2022,11,23,0
2022,11,30,10
2022,12,7,20
2022,12,16,30
2022,12,23,0
2022,12,29,10
2023,1,6,20
2023,1,14,30
2023,1,21,0
2023,1,28,10
2023,2,5,20
2023,2,13,30
2023,2,19,0
2023,2,27,10
2023,3,7,20
2023,3,14,30
2023,3,21,0
2023,3,28,10
2023,4,5,20
2023,4,13,30
2023,4,19,0
2023,4,27,10
2023,5,5,20
2023,5,12,30
2023,5,19,0
2023,5,27,10
2023,6,3,20
2023,6,10,30
2023,6,17,0
2023,6,26,10
2023,7,3,20
2023,7,9,30
2023,7,17,0
2023,7,25,10
2023,8,1,20
2023,8,8,30
2023,8,16,0
2023,8,24,10
2023,8,30,20
2023,9,6,30
2023,9,14,0
2023,9,22,10
2023,9,29,20
2023,10,6,30
2023,10,14,0
2023,10,21,10
2023,10,28,20
2023,11,5,30
2023,11,13,0
2023,11,20,10
2023,11,27,20
2023,12,4,30
2023,12,12,0
2023,12,19,10
2023,12,26,20
2024,1,3,30
2024,1,11,0
2024,1,17,10
2024,1,25,20
2024,2,2,30
2024,2,9,0
2024,2,16,10
2024,2,24,20
2024,3,3,30
2024,3,10,0
2024,3,16,10
2024,3,25,20
2024,4,1,30
2024,4,8,0
2024,4,15,10
2024,4,23,20
2024,5,1,30
2024,5,7,0
2024,5,15,10
2024,5,23,20
2024,5,30,30
2024,6,6,0
2024,6,13,10
2024,6,21,20
2024,6,28,30
2024,7,5,0
2024,7,13,10
2024,7,21,20
2024,7,27,30
2024,8,4,0
2024,8,12,10
2024,8,19,20
2024,8,26,30
2024,9,2,0
2024,9,10,10
2024,9,17,20
2024,9,24,30
2024,10,2,0
2024,10,10,10
2024,10,17,20
2024,10,24,30
2024,11,1,0
2024,11,8,10
2024,11,15,20
2024,11,22,30
2024,11,30,0
2024,12,8,10
2024,12,15,20
2024,12,22,30
2024,12,30,0
2025,1,6,10
2025,1,13,20
2025,1,21,30
2025,1,29,0
2025,2,5,10
2025,2,12,20
2025,2,20,30
2025,2,27,0
2025,3,6,10
2025,3,13,20
2025,3,22,30
2025,3,29,0
2025,4,4,10
2025,4,12,20
2025,4,20,30
2025,4,27,0
2025,5,4,10
2025,5,12,20
2025,5,20,30
2025,5,26,0
2025,6,2,10
2025,6,11,20
2025,6,18,30
2025,6,25,0
2025,7,2,10
2025,7,10,20
2025,7,17,30
2025,7,24,0
2025,8,1,10
2025,8,9,20
2025,8,15,30
2025,8,22,0
2025,8,30,10
2025,9,7,20
2025,9,14,30
2025,9,21,0
2025,9,29,10
2025,10,6,20
2025,10,13,30
2025,10,21,0
2025,10,29,10
2025,11,5,20
2025,11,11,30
2025,11,19,0
2025,11,27,10
2025,12,4,20
2025,12,11,30
2025,12,19,0
2025,12,27,10
2026,1,3,20
2026,1,10,30
2026,1,18,0
2026,1,25,10
2026,2,1,20
2026,2,9,30
2026,2,17,0
2026,2,24,10
2026,3,3,20
2026,3,11,30
2026,3,18,0
2026,3,25,10
2026,4,1,20
2026,4,9,30
2026,4,17,0
2026,4,23,10
2026,5,1,20
2026,5,9,30
2026,5,16,0
2026,5,23,10
2026,5,31,20
2026,6,8,30
2026,6,14,0
2026,6,21,10
2026,6,29,20
2026,7,7,30
2026,7,14,0
2026,7,21,10
2026,7,29,20
2026,8,5,30
2026,8,12,0
2026,8,19,10
2026,8,27,20
2026,9,4,30
2026,9,10,0
2026,9,18,10
2026,9,26,20
2026,10,3,30
2026,10,10,0
2026,10,18,10
2026,10,25,20
2026,11,1,30
2026,11,8,0
2026,11,17,10
2026,11,24,20
2026,11,30,30
2026,12,8,0
2026,12,16,10
2026,12,23,20
2026,12,30,30
2027,1,7,0
2027,1,15,10
2027,1,22,20
2027,1,29,30
2027,2,6,0
2027,2,13,10
2027,2,20,20
2027,2,27,30
2027,3,8,0
2027,3,15,10
2027,3,22,20
2027,3,29,30
2027,4,6,0
2027,4,13,10
2027,4,20,20
2027,4,28,30
2027,5,6,0
2027,5,12,10
2027,5,20,20
2027,5,28,30
2027,6,4,0
2027,6,11,10
2027,6,18,20
2027,6,26,30
2027,7,3,0
2027,7,10,10
2027,7,18,20
2027,7,26,30
2027,8,2,0
2027,8,8,10
2027,8,17,20
2027,8,24,30
2027,8,31,0
2027,9,7,10
2027,9,15,20
2027,9,23,30
2027,9,29,0
2027,10,7,10
2027,10,15,20
2027,10,22,30
2027,10,29,0
2027,11,6,10
2027,11,13,20
2027,11,20,30
2027,11,27,0
2027,12,5,10
2027,12,13,20
2027,12,20,30
2027,12,27,0
